鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢二路421~450號,8.09,商,,,1070409,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,78.84,2,1,1,有,有,4890000,62024,,0.0,0,預售屋,RPOPMLTLKINFFAE38CA
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢二路421~450號,7.32,商,,,1070128,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,71.39,2,1,1,有,有,4310000,60373,,0.0,0,預售屋，含裝潢,RPPPMLTLKINFFAE48CA
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢二路421~450號,7.32,商,,,1070221,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,71.39,2,1,1,有,有,4160000,58271,,0.0,0,預售屋,RPQPMLTLKINFFAE58CA
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢二路421~450號,8.47,商,,,1070917,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071107,82.94,2,1,1,有,有,4820000,58114,,0.0,0,預售屋,RPRPMLTLKINFFAE68CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區馬卡道路361~390號,20.74,住,,,1071121,土地1建物1車位1,五層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050826,253.01,4,2,2,有,有,18400000,70700,坡道平面,22.46,2100000,,RPPOMLMLJHOFFAE57CA
鼓山區,土地,內惟段一小段181~210地號,89.4,住,,,1070501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8100000,90604,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPXNMLTJJHOFFAE78CA
鹽埕區,房地(土地+建物),高雄市鹽埕區府北路1~30號,2.69,商,,,1071211,土地1建物1車位0,七層,十二層,套房(1房1廳1衛),,鋼筋混凝土造,0701124,30.71,1,1,1,有,有,1230000,40052,,0.0,0,,RPSPMLMJJHOFFAE77CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區正德路121~150號,36.14,住,,,1071123,土地1建物1車位1,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870225,132.82,3,2,2,有,有,5500000,41409,坡道機械,0.0,0,,RPOOMLRJJHOFFAE77CA
前金區,房地(土地+建物),高雄市前金區大同二路1~30號,45.0,住,,,1071208,土地1建物1車位0,全,三層,透天厝,,加強磚造,0600408,126.21,4,3,3,有,無,11300000,89533,,0.0,0,,RPQOMLRJJHOFFAE97CA
苓雅區,房地(土地+建物)+車位,高雄市新興區七賢一路121~150號,5.68,商,,,1041215,土地1建物1車位1,十五層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070911,143.38,2,1,1,有,有,8050000,68657,坡道平面,42.88,1150000,,RPXNMLSLKINFFBE09CA
